RQ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2019/1/13,75435.47705,74206.99219,73418.77637,72939.79639,73034.83789,73835.91846,75195.91992,76131.17481,79062.36084,79713.75293,80107.74561,79697.28809,79331.3125,79349.39551,79692.22363,79694.61817,82011.17188,83335.9834,84165.35693,84059.3623,83173.93164,81080.98047,78871.37354,76300.1543
2019/1/14,74622.20361,73252.71875,72107.32764,72170.82715,71960.44727,72891.57813,75246.93457,76997.08594,80459.4624,81151.47803,82155.08984,81737.125,81485.70703,80847.34961,80207.146,80674.7666,82914.00684,83391.92285,83683.40625,83872.40625,82778.22363,80686.25635,78563.73193,76512.74902
2019/1/15,75070.09277,73888.48047,73199.77734,72770.84717,72810.20117,74028.57031,76525.28906,77640.01172,81135.97363,82033.7417,82549.88086,81847.91748,81667.06543,80874.16651,80752.93213,81057.51856,82584.29102,83364.50146,84201.84424,84502.74756,83450.64258,81350.271,79193.41455,76802.82031
2019/1/16,74700.44922,73737.2998,73278.51904,72824.45703,72780.89404,74122.27539,76528.27539,78214.72363,81373.29639,81836.40186,81839.62598,80945.05176,80527.33301,80027.26367,80185.15137,81254.54102,82760.16602,83991.19141,85038.8877,84817.78418,83792.66895,81686.65723,79435.91309,77476.96045
2019/1/17,75197.42139,73984.1001,73263.91797,72866.12744,72828.14697,73469.38037,75897.25586,77457.01855,80779.36621,80762.30274,80544.18945,79779.65967,78746.87549,78150.25,77806.2461,78779.9585,80804.98535,82394.71436,83328.8999,83273.24609,82624.98389,80663.08203,78659.63623,76241.06494
2019/1/18,74520.25049,73281.53955,72824.69922,72611.92432,72141.46338,73376.59912,75528.26367,76791.60059,80309.54102,81467.57471,81701.12793,81172.53662,80207.4082,80057.79443,79560.6377,79451.85938,80928.41406,81585.5874,82603.61865,82900.10498,81940.14648,79529.86084,77423.01318,75241.12061
2019/1/19,73922.70947,72464.59033,72008.39111,71309.66211,71417.34375,72238.09863,73600.99805,75126.62305,78397.625,78714.06641,79168.71924,78013.77246,77056.14844,76511.6875,75860.88184,76288.51367,78332.78565,80041.76074,81344.24414,81497.72754,80749.67578,78483.6084,76378.59082,74630.44385
2019/1/20,72563.86328,71606.7168,70912.96338,70474.45752,70618.88135,71554.83887,72910.96582,73861.41943,77332.63428,78479.53711,78637.07471,78321.18067,78211.35401,77816.36621,77131.00098,77057.35352,78874.66211,80488.54687,81880.78516,82262.9209,81218.5166,79343.09766,77014.13867,74857.16797
2019/1/21,72984.88086,71739.68408,70816.67236,70338.84228,70722.65283,71650.68945,73916.41504,75780.67578,79151.90088,79466.875,79116.54443,78205.02539,77427.375,76543.10254,76383.47754,76597.35303,78719.01123,80201.30664,82293.5249,82496.16797,82459.79151,80710.69824,78113.1084,75735.24512
2019/1/22,74161.60498,72758.08594,72032.08203,71975.22656,71748.05859,72821.54199,75034.53027,76819.78809,79767.76026,79877.28809,79549.50586,78868.31445,77346.12647,77163.6875,77058.28027,76907.25781,78773.21729,80237.31982,81997.58984,82347.58692,81497.62744,79619.19043,77760.19531,75243.0752
2019/1/23,73632.61182,72475.72949,71772.21973,71629.63574,71850.0332,72393.48926,74253.37012,76365.60547,79202.42188,79095.88965,79060.37451,77886.34375,77271.47559,76565.10547,75797.16016,76008.45508,78512.47998,79410.63721,81024.02441,81326.91699,80699.60694,78514.06885,76746.31055,75072.74805
2019/1/24,72826.98242,71483.86719,71100.3418,70667.26514,70610.71387,71600.34717,73607.40674,75285.21191,78579.87012,79367.30859,79556.97852,79585.99219,78918.25781,78479.46289,78340.87207,78338.75244,80005.21973,80752.28467,80934.84668,81294.04248,80633.03076,78937.1001,76795.28272,74753.54053
2019/1/25,72985.93213,71952.13379,71088.31543,70775.99268,70845.72901,71743.25342,73784.79688,74957.99609,78422.76465,78895.70996,78750.28174,77764.41602,77131.22168,76497.48633,75904.59424,76239.43408,77797.62695,78689.92676,80374.45459,80709.80957,80351.17969,78833.37549,76596.38477,74654.97412
2019/1/26,72761.55225,71424.28906,70833.69238,70771.67383,70537.16309,71401.11035,72744.9502,73236.93115,76296.12256,77405.1499,77755.15527,76876.04199,76375.48975,75926.96826,75853.27002,76387.44775,78205.45606,79070.87891,79873.0791,80402.70752,79613.98145,77704.22021,76124.78418,73627.32568
2019/1/27,71286.04834,70031.44238,69393.97266,69172.22314,69277.60938,70077.19824,71037.5127,71945.70801,74874.7959,76411.87744,76666.16553,76009.93555,75631.84766,75674.45361,75269.43945,75738.23633,77288.32324,77961.11719,79514.33838,80030.8169,79097.00781,77292.42725,75417.72705,73206.79785
2019/1/28,71123.35205,70215.01416,69287.38965,69018.21826,69012.28906,70012.64844,71984.59717,73486.57715,76612.20117,76915.07568,77433.12988,76443.61377,75940.46436,75344.24219,75801.58496,75905.05127,77649.85986,78694.12939,79691.61231,80037.66895,79252.79053,77740.92432,75575.49902,73187.17285
2019/1/29,71435.93799,70121.27783,69083.61426,68640.70215,68399.59277,69183.85986,70943.93262,72857.10156,75469.40234,75764.01416,75646.08935,74882.2915,74685.75781,74408.03858,74049.11328,74285.67969,75586.86719,76085.12988,78433.26709,78610.76416,78024.90771,76343.75244,74586.36572,72199.73828
2019/1/30,70368.99951,68889.85547,67928.3501,67729.64941,67732.65088,68716.78223,70612.58887,72170.15527,74955.81397,76231.0918,76371.36524,76314.91895,75798.16016,75755.54932,75328.94238,75959.92529,77693.625,78388.41211,79064.68359,79399.21582,78773.90479,76726.61426,75056.24121,72819.94873
2019/1/31,70676.21973,69571.99756,69125.15625,68698.88623,68687.80713,69625.03906,71012.39453,72555.93848,75725.32373,76533.15918,76194.23145,74846.02734,74195.63379,73370.66797,72729.71777,72860.51074,74474.93652,75625.57129,77394.11524,78164.39502,77542.33936,76262.84961,73797.60156,71749.21875
2019/2/1,69489.48437,67911.64941,67172.03125,67189.2998,66915.02002,67832.56348,69319.87842,71383.42383,73871.09522,74421.61133,73948.26856,73463.50928,72575.5791,71991.99512,71906.59766,71838.21875,73723.9248,74508.46631,76769.43262,77069.72949,77209.00781,75191.39941,72962.31104,70666.61621
2019/2/2,68832.56152,67222.82129,66726.45801,66192.66992,66542.09961,67363.69678,68804.80567,69594.33691,71934.08887,72565.99121,72922.12402,72023.04687,71562.80029,70610.47607,70695.69092,70616.46289,71901.13379,73124.40381,74620.49414,75520.99121,75627.23584,74311.39746,72281.92676,69814.40625
2019/2/3,68186.52344,66021.76367,65491.82275,64916.54981,65105.875,66004.85742,67247.64404,68553.30566,70932.22021,70512.58692,69971.2085,69296.83105,68953.75488,68196.9585,67674.16846,67811.9043,69140.19092,71256.12891,73631.36133,74657.02197,74708.19385,73241.1499,72362.20703,69721.87647
2019/2/4,67412.13965,65722.9873,65059.19727,64461.81787,64219.20215,64880.78906,65441.61035,66987.83301,69194.65137,68199.77002,67913.60156,67508.12061,67146.70313,66740.79736,66338.85352,66323.59863,67633.98193,68469.81055,71025.74902,71819.92578,71642.146,71382.36719,71772.09473,70681.36523
2019/2/5,67777.93799,65687.85254,64428.93164,64023.25781,63624.71826,64380.37598,65208.96191,65814.30469,66829.29394,66193.92432,65882.17188,64991.23486,65020.01318,64341.70117,64200.4873,64081.5376,65365.48291,66835.24707,68529.34766,69777.52686,70023.63574,69461.49512,68250.28125,66822.33105
2019/2/6,65075.06592,63736.78711,63178.63672,62811.82227,62822.25977,63357.70996,64205.94043,64797.93457,66854.29346,67209.46924,66342.74902,65569.25293,65372.21338,64913.15234,64600.00684,64590.37061,65652.87012,66609.5791,68581.15723,69623.71777,69531.63867,68741.3833,68061.49756,66327.56397
2019/2/7,65205.53516,63630.03662,63252.16211,62935.50488,62967.02686,63415.98047,64351.45508,64625.86133,66467.85547,66440.14307,66585.56836,66546.68506,66868.42139,66972.08545,66859.59277,66873.72607,67988.41651,68828.729,70245.30322,71115.0293,70985.64502,69671.58984,68677.48242,66884.26953
2019/2/8,65319.42676,64158.38916,63738.1543,63276.55176,63601.67578,64039.10352,64668.50684,65498.83887,68289.99316,68933.45996,69088.32373,68921.64893,68864.35156,68470.27344,67892.82031,67788.61426,69210.71777,70556.26123,72370.6665,73202.52637,72654.32813,71128.50244,69600.43066,67532.75586
2019/2/9,65649.50195,64445.67285,63832.02979,63587.91162,63546.54395,64272.66895,64756.00342,65803.03857,68401.35254,69621.0835,69666.66846,70182.87598,70107.48047,70608.12598,69981.57422,69960.0957,71308.61426,72106.57422,73649.79883,74940.97754,74759.95752,73335.15723,71791.50781,70264.18018
2019/2/10,68171.47949,66994.55078,65990.39209,65694.67676,65636.60693,66013.38672,66365.69629,67630.73584,70080.30225,71115.3584,71571.33936,70612.76074,70292.29785,69420.25195,68792.88769,68818.11426,69858.04883,71377.7373,73666.85254,74697.08447,74332.07227,72970.86719,71552.57471,69437.32324
2019/2/11,67595.22656,66409.75,65364.50391,64905.13379,64879.67774,65827.10938,67617.84082,69222.25195,72313.70215,72841.48584,73035.96387,72233.30176,71699.39941,71292.3501,71299.30225,71724.53565,72890.37012,74247.57422,75620.29785,76107.4502,75651.38037,74465.33398,72596.94336,70334.09229
2019/2/12,68385.82764,67076.35449,66890.78223,66451.53516,66598.18408,67315.64355,68610.84131,70214.18066,72533.32959,73400.14795,73119.04443,72649.44141,71924.95898,71221.56152,71087.91553,71224.6919,72414.68262,73818.22754,75216.5127,76520.86328,76105.26367,74462.86524,72697.61914,70694.42383
2019/2/13,68510.19336,67192.83399,66923.24023,66264.45898,66415.39209,66889.26465,68165.68311,69543.00977,72797.03076,73542.46143,74198.93555,73884.76758,73496.99707,73399.41016,73329.60498,73459.89404,74625.6748,75718.01025,76518.89209,76516.27441,75697.42725,74589.59522,72916.33692,70859.88184
2019/2/14,68888.07959,67680.63525,67223.47559,66789.21045,66680.12598,67674.43311,69415.76074,70881.71582,74402.25684,75233.72852,75325.09863,75229.2041,74989.91065,74462.28516,73793.3335,73397.26855,74564.06055,75227.02539,76709.37451,77361.93799,77461.1499,76225.8833,74640.73144,72399.62402
2019/2/15,70625.36719,69503.03076,68663.87207,68188.17774,68396.70459,68913.18408,70765.0459,72180.90869,74710.64209,75306.67236,75328.48242,74487.38379,73127.6626,73032.37598,72697.76221,73239.94092,74711.54492,75797.2793,76957.81055,77612.78955,77227.51123,75504.26563,74083.47852,72087.04785
2019/2/16,69887.29785,68615.27588,67872.88525,67369.31836,67416.95508,68021.57129,69494.36328,70842.74316,73659.31397,74518.6377,75077.56934,74987.73682,74719.72998,74224.29199,74246.40479,74577.46094,75386.86963,76123.18848,77416.92627,77985.78809,77748.03613,76033.80518,74163.09863,72495.14111
2019/2/17,70867.64062,69286.81348,68831.01221,68610.25781,68586.37402,68919.07813,69994.76172,70868.49316,73773.43359,75453.16992,75917.03418,75593.41504,75450.02832,74998.0752,74949.43408,75216.18262,76606.7832,77278.06348,78459.76855,79245.26416,78893.47119,77246.29883,74980.0752,73081.33789
2019/2/18,71545.59473,70079.62744,69996.55078,69629.3916,69358.36621,70367.04102,71760.83984,73489.22266,76704.60156,77893.29883,78282.77344,77892.83398,77506.58691,76547.32715,76130.48145,76625.84277,78078.80127,78263.11816,79392.56348,79558.96826,78902.95605,77278.20947,75358.71973,73649.54688
2019/2/19,71320.46582,70090.01074,69533.21826,69397.04297,69369.01465,69875.44678,71508.26611,73507.04785,76356.13086,77217.73242,76920.36768,75886.0415,74805.22754,73859.74023,73561.34668,73866.6626,75565.1167,75879.90723,77710.72119,78990.73047,78872.85547,77889.30859,75971.86426,73656.12988
